global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,preemption_count
0,2.8750267,0.70453346,,,,,,,,,,,,,,
1,,,0.5896993279457092,0.7032931447029114,0.022585955060818,0.587599515914917,0.7057192921638489,0.0254660818910648,43793.0,0.587836742401123,0.7061472535133362,0.0277330355154738,43793.0,20.93306851387024,21.014333963394165,0.0
100,0.3708737,0.31495646,,,,,,,,,,,,,,
200,0.249923,0.1875601,,,,,,,,,,,,,,
300,0.12978767,0.11189358,,,,,,,,,,,,,,
400,0.06797197,0.077347025,,,,,,,,,,,,,,
500,0.12744582,0.06255804,,,,,,,,,,,,,,
600,0.022392722,0.06395281,,,,,,,,,,,,,,
700,0.0221921,0.058575846,,,,,,,,,,,,,,
800,0.02153918,0.05406069,,,,,,,,,,,,,,
900,0.06898477,0.053873975,,,,,,,,,,,,,,
928,,,0.9867643117904664,0.0513046942651271,0.0567819593359153,0.9841402769088744,0.0608095936477184,0.0562171952130329,43793.0,0.9831715822219848,0.0640914440155029,0.056446317584456,43793.0,259.9373667240143,505.0871949195862,0.0
1000,0.03920379,0.049719185,,,,,,,,,,,,,,
1100,0.029173236,0.049611516,,,,,,,,,,,,,,
1200,0.027621726,0.04631371,,,,,,,,,,,,,,
1300,0.021020867,0.05291535,,,,,,,,,,,,,,
1400,0.02671646,0.046944916,,,,,,,,,,,,,,
1500,0.021701107,0.04787947,,,,,,,,,,,,,,
1600,0.025412567,0.05421414,,,,,,,,,,,,,,
1700,0.02531182,0.042251166,,,,,,,,,,,,,,
1800,0.026964296,0.054289002,,,,,,,,,,,,,,
1850,,,0.9870824217796326,0.0480147004127502,0.0959394705030311,0.9844337701797484,0.0575907453894615,0.0933084348163903,43793.0,0.9834406971931458,0.0611662603914737,0.09210515573616,43793.0,499.1563377380371,832.5459651947021,0.0
1900,0.022732157,0.04792974,,,,,,,,,,,,,,
2000,0.019821856,0.047957145,,,,,,,,,,,,,,
2100,0.04654765,0.048077177,,,,,,,,,,,,,,
2200,0.01953826,0.046301175,,,,,,,,,,,,,,
2300,0.024411734,0.050359145,,,,,,,,,,,,,,
2400,0.04777019,0.047870103,,,,,,,,,,,,,,
2500,0.02713534,0.046743926,,,,,,,,,,,,,,
2600,0.018426219,0.04537472,,,,,,,,,,,,,,
2700,0.025025921,0.043621816,,,,,,,,,,,,,,
2781,,,0.9877657294273376,0.0436881557106971,0.1466993407948561,0.9849773049354552,0.0529705062508583,0.1358451147114,43793.0,0.9839979410171508,0.0559493042528629,0.1319937107190753,43793.0,738.3789565563202,1159.4385750293732,0.0
2800,0.032638386,0.045824457,,,,,,,,,,,,,,
2900,0.03241479,0.04475948,,,,,,,,,,,,,,
3000,0.025773602,0.04540222,,,,,,,,,,,,,,
3100,0.0130183,0.042848777,,,,,,,,,,,,,,
3200,0.013112508,0.045828823,,,,,,,,,,,,,,
3300,0.020640943,0.04879184,,,,,,,,,,,,,,
3400,0.012616841,0.0444463,,,,,,,,,,,,,,
3500,0.012692108,0.044332754,,,,,,,,,,,,,,
3600,0.014209497,0.04095472,,,,,,,,,,,,,,
3700,0.01102713,0.03959443,,,,,,,,,,,,,,
3715,,,0.9876130223274232,0.0435568392276763,0.1671618282028592,0.9848977327346802,0.0533763878047466,0.1593370712752889,43793.0,0.98391455411911,0.0565128400921821,0.1511495628530361,43793.0,977.4865691661836,1486.0085129737854,0.0
3800,0.03284629,0.045683,,,,,,,,,,,,,,
3900,0.014406716,0.044160694,,,,,,,,,,,,,,
4000,0.015487085,0.042052697,,,,,,,,,,,,,,
4100,0.014690964,0.04191852,,,,,,,,,,,,,,
4200,0.01084401,0.044111617,,,,,,,,,,,,,,
4300,0.03156161,0.047825594,,,,,,,,,,,,,,
4400,0.017528487,0.040218487,,,,,,,,,,,,,,
4500,0.010786607,0.040480293,,,,,,,,,,,,,,
4600,0.011443093,0.04726437,,,,,,,,,,,,,,
4637,,,0.9883093237876892,0.0405701175332069,0.2030987848011287,0.985412895679474,0.0500301718711853,0.1734821207213316,43793.0,0.9845522046089172,0.0526705905795097,0.1738414002934596,43793.0,1216.5513696670532,1812.698534488678,0.0
4700,0.0147681,0.045463562,,,,,,,,,,,,,,
4800,0.012035312,0.04453786,,,,,,,,,,,,,,
4900,0.013269017,0.042710036,,,,,,,,,,,,,,
5000,0.022938177,0.04273993,,,,,,,,,,,,,,
5100,0.011365102,0.041802377,,,,,,,,,,,,,,
5200,0.011121554,0.04391421,,,,,,,,,,,,,,
5300,0.0120880455,0.04300129,,,,,,,,,,,,,,
5400,0.009536301,0.042844374,,,,,,,,,,,,,,
5500,0.014688082,0.042490184,,,,,,,,,,,,,,
5555,,,0.9886943697929382,0.0389122068881988,0.2182309110876162,0.985671877861023,0.0486385263502597,0.1876559631414037,43793.0,0.9848407506942748,0.0514118522405624,0.1895320981651397,43793.0,1455.5678181648254,2138.6052055358887,0.0
5600,0.01303401,0.045137968,,,,,,,,,,,,,,
5700,0.00886777,0.0412772,,,,,,,,,,,,,,
5800,0.011045809,0.039878536,,,,,,,,,,,,,,
5900,0.014746511,0.042361125,,,,,,,,,,,,,,
6000,,,0.9888890981674194,0.0383332334458828,0.2594011552625865,0.9858484864234924,0.0481545627117157,0.2023783181476692,43793.0,0.9849528074264526,0.0508298054337501,0.2034517852536271,43793.0,1567.6069803237915,2336.2368416786194,0.0
6000,,,,,,,,,,,,,,1567.6069803237915,,0.0
